,video_name,tag
0,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail 19 - Made With Clipchamp.mp4,Wagging Tail
1,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Wagging 10 - Made With Clipchamp.mp4,Wagging Tail
2,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Wagging 11 - Made With Clipchamp.mp4,Wagging Tail
3,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Wagging 12 - Made With Clipchamp.mp4,Wagging Tail
4,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Wagging 13 - Made With Clipchamp.mp4,Wagging Tail
5,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Wagging 18 - Made With Clipchamp.mp4,Wagging Tail
6,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Wagging 20 - Made With Clipchamp.mp4,Wagging Tail
7,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tail Waging 17 - Made With Clipchamp.mp4,Wagging Tail
8,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tailwagi16 - Made With Clipchamp.mp4,Wagging Tail
9,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Tal 1Gging 15 - Made With Clipchamp.mp4,Wagging Tail
10,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video 1.mp4,Wagging Tail
11,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video 2.mp4,Wagging Tail
12,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video 5.mp4,Wagging Tail
13,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video 7.mp4,Wagging Tail
14,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video4.mp4,Wagging Tail
15,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video6.mp4,Wagging Tail
16,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Video8.mp4,Wagging Tail
17,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Vodeo3.mp4,Wagging Tail
18,/content/drive/MyDrive/project/trainn//Wagging Tail/g_Wagging 21 - Made With Clipchamp.mp4,Wagging Tail
19,/content/drive/MyDrive/project/trainn//Wagging Tail/Greyscale,Wagging Tail
20,/content/drive/MyDrive/project/trainn//Running/g_Run 10 - Made With Clipchamp.mp4,Running
21,/content/drive/MyDrive/project/trainn//Running/g_Run 11 - Made With Clipchamp.mp4,Running
22,/content/drive/MyDrive/project/trainn//Running/g_Run 12 - Made With Clipchamp.mp4,Running
23,/content/drive/MyDrive/project/trainn//Running/g_Run 7 - Made With Clipchamp.mp4,Running
24,/content/drive/MyDrive/project/trainn//Running/g_Run 8 - Made With Clipchamp.mp4,Running
25,/content/drive/MyDrive/project/trainn//Running/g_Run 9 - Made With Clipchamp.mp4,Running
26,/content/drive/MyDrive/project/trainn//Running/g_Run Ning Dog 4 - Made With Clipchamp.mp4,Running
27,/content/drive/MyDrive/project/trainn//Running/g_Running 5 - Made With Clipchamp.mp4,Running
28,/content/drive/MyDrive/project/trainn//Running/g_Running Dog3 - Made With Clipchamp.mp4,Running
29,/content/drive/MyDrive/project/trainn//Running/g_Running V 2 - Made With Clipchamp.mp4,Running
30,/content/drive/MyDrive/project/trainn//Running/g_Running Video 1 - Made With Clipchamp.mp4,Running
31,/content/drive/MyDrive/project/trainn//Playing/g_Play 19 - Made With Clipchamp.mp4,Playing
32,/content/drive/MyDrive/project/trainn//Playing/g_Play 21 - Made With Clipchamp.mp4,Playing
33,/content/drive/MyDrive/project/trainn//Playing/g_Play 22 - Made With Clipchamp.mp4,Playing
34,/content/drive/MyDrive/project/trainn//Playing/g_Playful 10 - Made With Clipchamp.mp4,Playing
35,/content/drive/MyDrive/project/trainn//Playing/g_Playful 12 - Made With Clipchamp.mp4,Playing
36,/content/drive/MyDrive/project/trainn//Playing/g_Playful 14 - Made With Clipchamp.mp4,Playing
37,/content/drive/MyDrive/project/trainn//Playing/g_Playful 15 - Made With Clipchamp.mp4,Playing
38,/content/drive/MyDrive/project/trainn//Playing/g_Playful 16 - Made With Clipchamp.mp4,Playing
39,/content/drive/MyDrive/project/trainn//Playing/g_Playful 17 - Made With Clipchamp.mp4,Playing
40,/content/drive/MyDrive/project/trainn//Playing/g_Playful 20 - Made With Clipchamp.mp4,Playing
41,/content/drive/MyDrive/project/trainn//Playing/g_Playful13 - Made With Clipchamp.mp4,Playing
42,/content/drive/MyDrive/project/trainn//Playing/g_Playing 11 - Made With Clipchamp.mp4,Playing
43,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 1 - Made With Clipchamp.mp4,Playing
44,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 2 - Made With Clipchamp.mp4,Playing
45,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 3 - Made With Clipchamp.mp4,Playing
46,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 4 - Made With Clipchamp.mp4,Playing
47,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 5 - Made With Clipchamp.mp4,Playing
48,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 6 - Made With Clipchamp.mp4,Playing
49,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 7 - Made With Clipchamp.mp4,Playing
50,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 8 - Made With Clipchamp.mp4,Playing
51,/content/drive/MyDrive/project/trainn//Playing/g_Playing V 9 - Made With Clipchamp.mp4,Playing
52,/content/drive/MyDrive/project/trainn//Digging/g_D V 14 - Made With Clipchamp.mp4,Digging
53,/content/drive/MyDrive/project/trainn//Digging/g_Dig 18 - Made With Clipchamp.mp4,Digging
54,/content/drive/MyDrive/project/trainn//Digging/g_Dig 19 - Made With Clipchamp.mp4,Digging
55,/content/drive/MyDrive/project/trainn//Digging/g_Dig 20 - Made With Clipchamp.mp4,Digging
56,/content/drive/MyDrive/project/trainn//Digging/g_Digg 17 - Made With Clipchamp.mp4,Digging
57,/content/drive/MyDrive/project/trainn//Digging/g_Digging 15 - Made With Clipchamp.mp4,Digging
58,/content/drive/MyDrive/project/trainn//Digging/g_Digging 16 - Made With Clipchamp.mp4,Digging
59,/content/drive/MyDrive/project/trainn//Digging/g_Digging V 13 - Made With Clipchamp.mp4,Digging
60,/content/drive/MyDrive/project/trainn//Digging/g_Video 1.mp4,Digging
61,/content/drive/MyDrive/project/trainn//Digging/g_Video 10.mp4,Digging
62,/content/drive/MyDrive/project/trainn//Digging/g_Video 12.mp4,Digging
63,/content/drive/MyDrive/project/trainn//Digging/g_Video 2.mp4,Digging
64,/content/drive/MyDrive/project/trainn//Digging/g_Video 3.mp4,Digging
65,/content/drive/MyDrive/project/trainn//Digging/g_Video 5.mp4,Digging
66,/content/drive/MyDrive/project/trainn//Digging/g_Video 6.mp4,Digging
67,/content/drive/MyDrive/project/trainn//Digging/g_Video11.mp4,Digging
68,/content/drive/MyDrive/project/trainn//Digging/g_Video7.mp4,Digging
69,/content/drive/MyDrive/project/trainn//Digging/g_Video8.mp4,Digging
70,/content/drive/MyDrive/project/trainn//Digging/g_Video9.mp4,Digging
71,/content/drive/MyDrive/project/trainn//Digging/g_Vudeo 4.mp4,Digging
72,/content/drive/MyDrive/project/trainn//Barking/g_Barking - Made With Clipchamp.mp4,Barking
73,/content/drive/MyDrive/project/trainn//Barking/g_Barking 1 - Made With Clipchamp.mp4,Barking
74,/content/drive/MyDrive/project/trainn//Barking/g_Barking 10 - Made With Clipchamp.mp4,Barking
75,/content/drive/MyDrive/project/trainn//Barking/g_Barking 13 - Made With Clipchamp.mp4,Barking
76,/content/drive/MyDrive/project/trainn//Barking/g_Barking 18 - Made With Clipchamp.mp4,Barking
77,/content/drive/MyDrive/project/trainn//Barking/g_Barking 2 - Made With Clipchamp.mp4,Barking
78,/content/drive/MyDrive/project/trainn//Barking/g_Barking 20 - Made With Clipchamp.mp4,Barking
79,/content/drive/MyDrive/project/trainn//Barking/g_Barking 21 - Made With Clipchamp.mp4,Barking
80,/content/drive/MyDrive/project/trainn//Barking/g_Barking 5 - Made With Clipchamp.mp4,Barking
81,/content/drive/MyDrive/project/trainn//Barking/g_Barking 7 - Made With Clipchamp.mp4,Barking
82,/content/drive/MyDrive/project/trainn//Barking/g_Barking1 - Made With Clipchamp.mp4,Barking
83,/content/drive/MyDrive/project/trainn//Barking/g_Braking 19 - Made With Clipchamp.mp4,Barking
84,/content/drive/MyDrive/project/trainn//Barking/g_Howlih 14 - Made With Clipchamp.mp4,Barking
85,/content/drive/MyDrive/project/trainn//Barking/g_Howling 12 - Made With Clipchamp.mp4,Barking
86,/content/drive/MyDrive/project/trainn//Barking/g_Howling 15 - Made With Clipchamp.mp4,Barking
87,/content/drive/MyDrive/project/trainn//Barking/g_Howling 17 - Made With Clipchamp.mp4,Barking
88,/content/drive/MyDrive/project/trainn//Barking/g_Howling 4 - Made With Clipchamp.mp4,Barking
89,/content/drive/MyDrive/project/trainn//Barking/g_Howling 8 - Made With Clipchamp.mp4,Barking
90,/content/drive/MyDrive/project/trainn//Barking/g_Howlinh 11 - Made With Clipchamp.mp4,Barking
91,/content/drive/MyDrive/project/trainn//Barking/g_Rbarking 9 - Made With Clipchamp.mp4,Barking
92,/content/drive/MyDrive/project/trainn//Barking/g_Rhowling 6 - Made With Clipchamp.mp4,Barking
93,/content/drive/MyDrive/project/trainn//Paralysis/010.mp4,Paralysis
94,/content/drive/MyDrive/project/trainn//Paralysis/011.mp4,Paralysis
95,/content/drive/MyDrive/project/trainn//Paralysis/012.mp4,Paralysis
96,/content/drive/MyDrive/project/trainn//Paralysis/013.mp4,Paralysis
97,/content/drive/MyDrive/project/trainn//Paralysis/015.mp4,Paralysis
98,/content/drive/MyDrive/project/trainn//Paralysis/016.mp4,Paralysis
99,/content/drive/MyDrive/project/trainn//Paralysis/001.mp4,Paralysis
100,/content/drive/MyDrive/project/trainn//Paralysis/002.mp4,Paralysis
101,/content/drive/MyDrive/project/trainn//Paralysis/003.mp4,Paralysis
102,/content/drive/MyDrive/project/trainn//Paralysis/004.mp4,Paralysis
103,/content/drive/MyDrive/project/trainn//Paralysis/005.mp4,Paralysis
104,/content/drive/MyDrive/project/trainn//Paralysis/007.mp4,Paralysis
105,/content/drive/MyDrive/project/trainn//Paralysis/008.mp4,Paralysis
106,/content/drive/MyDrive/project/trainn//Paralysis/009.mp4,Paralysis
107,/content/drive/MyDrive/project/trainn//Paralysis/017.mp4,Paralysis
108,/content/drive/MyDrive/project/trainn//Paralysis/018.mp4,Paralysis
109,/content/drive/MyDrive/project/trainn//Paralysis/019.mp4,Paralysis
110,/content/drive/MyDrive/project/trainn//Paralysis/020.mp4,Paralysis
111,/content/drive/MyDrive/project/trainn//Paralysis/021.mp4,Paralysis
112,/content/drive/MyDrive/project/trainn//Paralysis/022.mp4,Paralysis
113,/content/drive/MyDrive/project/trainn//Paralysis/023.mp4,Paralysis
114,/content/drive/MyDrive/project/trainn//Paralysis/024.mp4,Paralysis
115,/content/drive/MyDrive/project/trainn//Paralysis/025.mp4,Paralysis
116,/content/drive/MyDrive/project/trainn//Paralysis/029.mp4,Paralysis
117,/content/drive/MyDrive/project/trainn//Hyper Salivation/008.mp4,Hyper Salivation
118,/content/drive/MyDrive/project/trainn//Hyper Salivation/001.mp4,Hyper Salivation
119,/content/drive/MyDrive/project/trainn//Hyper Salivation/002.mp4,Hyper Salivation
120,/content/drive/MyDrive/project/trainn//Hyper Salivation/004.mp4,Hyper Salivation
121,/content/drive/MyDrive/project/trainn//Hyper Salivation/003.mp4,Hyper Salivation
122,/content/drive/MyDrive/project/trainn//Hyper Salivation/005.mp4,Hyper Salivation
123,/content/drive/MyDrive/project/trainn//Hyper Salivation/006.mp4,Hyper Salivation
124,/content/drive/MyDrive/project/trainn//Hyper Salivation/007.mp4,Hyper Salivation
125,/content/drive/MyDrive/project/trainn//Hyper Salivation/009.mp4,Hyper Salivation
126,/content/drive/MyDrive/project/trainn//Hyper Salivation/010.mp4,Hyper Salivation
127,/content/drive/MyDrive/project/trainn//Hyper Salivation/011.mp4,Hyper Salivation
128,/content/drive/MyDrive/project/trainn//Hyper Salivation/012.mp4,Hyper Salivation
129,/content/drive/MyDrive/project/trainn//Hyper Salivation/013.mp4,Hyper Salivation
130,/content/drive/MyDrive/project/trainn//Hyper Salivation/014.mp4,Hyper Salivation
131,/content/drive/MyDrive/project/trainn//Hyper Salivation/015.mp4,Hyper Salivation
132,/content/drive/MyDrive/project/trainn//Hyper Salivation/016.mp4,Hyper Salivation
133,/content/drive/MyDrive/project/trainn//Hyper Salivation/017.mp4,Hyper Salivation
134,/content/drive/MyDrive/project/trainn//Hyper Salivation/018.mp4,Hyper Salivation
135,/content/drive/MyDrive/project/trainn//Hyper Salivation/019.mp4,Hyper Salivation
136,/content/drive/MyDrive/project/trainn//Hyper Salivation/023.mp4,Hyper Salivation
137,/content/drive/MyDrive/project/trainn//Hyper Salivation/024.mp4,Hyper Salivation
138,/content/drive/MyDrive/project/trainn//Hyper Salivation/020.mp4,Hyper Salivation
139,/content/drive/MyDrive/project/trainn//Hyper Salivation/021.mp4,Hyper Salivation
140,/content/drive/MyDrive/project/trainn//Hyper Salivation/022.mp4,Hyper Salivation
141,/content/drive/MyDrive/project/trainn//Hyper Salivation/Greyscale,Hyper Salivation
142,/content/drive/MyDrive/project/trainn//Seizure/031.mp4,Seizure
143,/content/drive/MyDrive/project/trainn//Seizure/030.mp4,Seizure
144,/content/drive/MyDrive/project/trainn//Seizure/028.mp4,Seizure
145,/content/drive/MyDrive/project/trainn//Seizure/029.mp4,Seizure
146,/content/drive/MyDrive/project/trainn//Seizure/001.mp4,Seizure
147,/content/drive/MyDrive/project/trainn//Seizure/002.mp4,Seizure
148,/content/drive/MyDrive/project/trainn//Seizure/003.mp4,Seizure
149,/content/drive/MyDrive/project/trainn//Seizure/004.mp4,Seizure
150,/content/drive/MyDrive/project/trainn//Seizure/005.mp4,Seizure
151,/content/drive/MyDrive/project/trainn//Seizure/006.mp4,Seizure
